@relation 'training_kayboard-weka.filters.unsupervised.attribute.Remove-R1,4,10,12,15-16'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost2Dist numeric
@attribute Ghost3Dist numeric
@attribute Ghost4Dist numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute Ghost4X numeric
@attribute Score numeric
@attribute Action {East,North,South,Stop,West}

@data
6,9,-1,-1,-1,2,7,0,0,0,567,West
5,9,-1,-1,-1,2,7,0,0,0,566,West
4,9,-1,-1,-1,2,6,0,0,0,565,West
3,9,-1,-1,-1,3,6,0,0,0,564,South
3,8,-1,-1,-1,3,5,0,0,0,563,South
3,7,-1,-1,-1,3,5,0,0,0,562,South
3,6,-1,-1,-1,3,5,0,0,0,561,South
1,18,25,28,29,5,9,3,6,25,0,Stop
1,18,25,28,29,5,9,3,6,25,-1,Stop
1,18,25,28,29,5,9,3,6,25,-2,South
1,17,24,27,28,5,9,3,6,25,-3,South
1,16,23,26,27,5,9,3,6,25,-4,South
1,15,22,25,26,5,9,3,6,25,-5,South
1,14,21,24,25,5,9,3,6,25,-6,South
1,13,20,23,24,5,9,3,6,25,-7,South
1,12,19,22,25,5,9,3,6,25,-8,South
1,11,18,21,26,5,9,3,6,25,-9,South
1,10,17,20,27,5,9,3,6,25,-10,South
1,9,16,19,28,5,9,3,6,25,-11,South
1,8,15,18,29,5,9,3,6,25,-12,South
1,7,14,17,30,5,9,3,6,25,-13,South
1,6,13,16,31,5,9,3,6,25,-14,East
2,6,12,15,30,5,9,3,6,25,-15,East
3,6,11,14,29,5,9,3,6,25,-16,East
4,6,10,13,28,5,9,3,6,25,-17,North
4,7,11,14,27,5,9,3,6,25,-18,North
4,8,12,15,26,5,9,3,6,25,-19,East
5,8,11,14,25,5,9,3,6,25,-20,East
6,8,10,13,24,5,9,3,6,25,-21,North
6,9,11,14,23,5,9,3,6,25,-22,West
5,9,12,15,24,0,0,3,6,25,177,South
5,8,11,14,25,0,0,3,6,25,176,South
5,7,10,13,26,0,0,3,6,25,175,South
5,6,9,12,27,0,0,3,6,25,174,South
5,5,8,13,28,0,0,3,6,25,173,South
5,4,7,14,29,0,0,3,6,25,172,South
5,3,6,15,30,0,0,3,6,25,171,East
6,3,5,14,29,0,0,3,6,25,170,East
7,3,4,13,28,0,0,3,6,25,169,East
8,3,3,12,27,0,0,3,6,25,168,East
9,3,2,11,26,0,0,3,6,25,167,East
10,3,1,10,25,0,0,3,6,25,166,East
11,3,-1,9,24,0,0,0,6,25,365,North
11,4,-1,8,23,0,0,0,6,25,364,North
11,5,-1,7,22,0,0,0,6,25,363,North
11,6,-1,6,21,0,0,0,6,25,362,North
11,7,-1,7,20,0,0,0,6,25,361,North
11,8,-1,8,19,0,0,0,6,25,360,North
11,9,-1,9,18,0,0,0,6,25,359,North
11,10,-1,10,17,0,0,0,6,25,358,North
11,11,-1,11,16,0,0,0,6,25,357,North
11,12,-1,12,15,0,0,0,6,25,356,East
12,12,-1,11,14,0,0,0,6,25,355,East
13,12,-1,10,13,0,0,0,6,25,354,East
14,12,-1,9,12,0,0,0,6,25,353,South
14,11,-1,8,13,0,0,0,6,25,352,South
14,10,-1,7,14,0,0,0,6,25,351,South
14,9,-1,6,15,0,0,0,6,25,350,South
14,8,-1,5,16,0,0,0,6,25,349,South
14,7,-1,4,17,0,0,0,6,25,348,South
14,6,-1,3,18,0,0,0,6,25,347,East
15,6,-1,2,17,0,0,0,6,25,346,East
16,6,-1,1,16,0,0,0,6,25,345,East
17,6,-1,-1,15,0,0,0,0,25,544,East
