@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-V-R2-3,8-9,11,13,16-18'

@attribute PacmanX numeric
@attribute PacmanY numeric
@attribute Ghost1X numeric
@attribute Ghost1Y numeric
@attribute Ghost2Y numeric
@attribute Ghost3Y numeric
@attribute PacDots numeric
@attribute Score numeric
@attribute Action {East,North,South,West}

@data
11,5,0,0,3,6,0,171,South
11,6,0,0,3,6,0,172,South
7,6,0,0,4,6,0,172,East
8,7,0,0,9,4,0,172,North
11,6,0,0,3,6,0,172,South
10,6,0,0,3,6,0,173,East
6,6,0,0,5,7,0,173,East
8,6,0,0,9,4,0,173,North
10,6,0,0,3,6,0,173,East
9,6,0,0,3,6,0,174,East
6,7,0,0,4,7,0,174,South
7,6,0,0,8,5,0,174,East
9,6,0,0,3,6,0,174,East
9,6,0,0,5,3,0,174,East
8,6,0,0,3,6,0,175,East
6,8,0,0,3,7,0,175,South
6,6,0,0,7,5,0,175,East
8,6,0,0,3,6,0,175,East
10,4,0,0,3,5,0,175,East
8,6,0,0,5,3,0,175,East
7,6,0,0,3,6,0,176,East
6,9,0,0,3,7,0,176,South
6,7,0,0,6,5,0,176,South
7,6,0,0,3,6,0,176,East
10,5,0,0,3,6,0,176,South
7,6,0,0,5,4,0,176,East
6,6,0,0,3,6,0,177,East
6,10,0,0,4,6,0,177,South
6,8,0,0,6,6,0,177,South
8,6,0,0,5,6,0,177,East
6,6,0,0,3,6,0,177,East
10,6,0,0,4,7,0,177,South
9,7,0,0,9,4,0,177,West
6,6,0,0,4,4,0,177,East
10,6,0,0,4,3,0,177,South
6,7,0,0,3,6,0,178,South
5,10,0,0,3,6,0,178,East
6,9,0,0,6,5,0,178,South
7,6,0,0,5,7,0,178,East
6,7,0,0,3,6,0,178,South
9,6,0,0,4,8,0,178,East
8,7,0,0,9,4,0,178,East
6,7,0,0,3,3,0,178,South
9,6,0,0,4,4,0,178,East
6,8,0,0,3,6,0,179,South
4,10,0,0,3,6,0,179,East
5,9,0,0,5,4,0,179,East
6,6,0,0,5,7,0,179,East
6,8,0,0,3,6,0,179,South
8,6,0,0,4,9,0,179,East
9,7,0,0,9,3,0,179,West
6,8,0,0,3,3,0,179,South
8,6,0,0,3,4,0,179,East
6,9,0,0,3,6,0,180,South
4,9,4,10,3,6,0,-20,North
5,8,5,9,4,5,0,-20,North
6,7,0,0,5,7,0,180,South
6,9,0,0,3,6,0,180,South
7,6,0,0,4,8,0,180,East
9,6,0,0,9,4,0,180,North
6,9,0,0,3,3,0,180,South
7,6,0,0,3,3,0,180,East
5,9,0,0,3,6,0,181,East
6,8,0,0,5,7,0,181,South
5,9,0,0,3,6,0,181,East
6,6,0,0,4,7,0,181,East
8,6,0,0,9,4,0,181,East
5,9,0,0,3,4,0,181,East
6,6,0,0,3,3,0,181,East
5,8,5,9,3,6,0,-18,North
6,7,6,9,6,6,0,-18,North
5,8,5,9,3,6,0,-18,North
6,7,0,0,3,6,0,182,South
7,6,0,0,8,4,0,182,East
5,8,5,9,3,5,0,-18,North
6,7,0,0,3,3,0,182,South
5,7,0,0,3,6,0,183,East
6,6,0,0,7,3,0,183,East
6,6,6,8,4,3,0,-17,North
4,7,0,0,3,6,0,184,East
5,6,0,0,8,3,0,184,East
3,7,0,0,3,6,0,185,East
4,6,5,6,8,3,0,-15,East
3,6,3,7,4,6,0,-14,North
12,8,6,9,11,6,1,190,South
12,9,6,8,11,5,1,191,South
13,9,6,9,11,5,1,192,West
13,8,5,6,12,6,1,193,South
9,12,5,7,14,6,1,193,West
14,9,6,8,11,5,1,193,West
13,9,5,6,12,6,1,194,South
10,12,6,7,14,6,1,194,West
14,10,6,9,11,5,1,194,South
13,10,5,6,12,6,1,195,South
14,9,6,5,14,7,1,195,South
11,12,6,8,13,5,1,195,West
14,11,6,8,12,5,1,195,South
13,11,5,6,12,6,1,196,South
14,10,7,5,13,6,1,196,South
12,12,7,8,12,6,1,196,West
13,11,6,8,12,6,1,196,East
13,12,5,6,12,6,1,197,South
14,11,7,6,13,6,1,197,South
13,12,7,7,11,7,1,-3,West
12,11,5,8,12,6,1,197,East
7,12,9,3,7,12,120,97,East
7,12,10,3,9,11,120,97,East
7,12,10,3,8,11,120,97,East
7,12,8,3,7,12,120,97,East
13,11,5,6,12,6,1,-2,North
13,11,6,6,12,6,1,198,East
13,11,5,8,13,6,1,-2,West
13,10,6,6,12,6,1,-1,North
9,11,10,3,7,11,118,294,South
9,12,9,3,8,11,118,295,South
